2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | ERROR | src.execution.order_executor | ❌ Error cerrando posición: 'quantity'
2025-12-05 09:31:53 | INFO | INFO | ✅ Bot detenido correctamente
